Date,Station,Taxon,Abundance (cells/L),Taxon
7/10/2019,KB10,Licmophora spp.,0,Licmophora spp.
7/10/2019,KB10,Melosira moniliformis,0,Melosira spp.
7/10/2019,KB10,Navicula spp.,0,Navicula spp.
7/10/2019,KB10,Nitzschia spp.,0,Nitzschia spp.
7/10/2019,KB10,Odontella spp.,0,Odontella spp.
7/10/2019,KB10,Paralia sulcata,0,unknown centric diatom (chain forming)
7/10/2019,KB10,Pinnulia sp.,0,unknown pennate diatom
7/10/2019,KB10,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
7/10/2019,KB10,Pleurosigma sp.,0,Pleurosigma spp.
7/10/2019,KB10,Proboscia alata,0,unknown pennate diatom
7/10/2019,KB10,Pseudo-nitzschia fraud/aust,26156.87,Pseudo-nitzschia spp.
7/10/2019,KB10,Pseudo-nitzschia deli/p-deli,5788.82,Pseudo-nitzschia spp.
7/10/2019,KB10,Pseudo-nitzschia multi/pung,0,Pseudo-nitzschia spp.
7/10/2019,KB10,Rhizosolenia setigera,0,Rhizosolenia spp.
7/10/2019,KB10,Rhizosolenia styliformis,0,Rhizosolenia spp.
7/10/2019,KB10,Rhizosolenia sp.,0,Rhizosolenia spp.
7/10/2019,KB10,Skeletonema costatum,97552.27,Skeletonema spp.
7/10/2019,KB10,Surirella spp.,0,unknown pennate diatom
7/10/2019,KB10,Stephanopyxis spp.,0,Stephanopyxis spp.
7/10/2019,KB10,Synedra sp.,0,unknown pennate diatom
7/10/2019,KB10,Thalassionema nitzschioides,321.6,Thalassionema spp.
7/10/2019,KB10,Thalassiosira spp.,53.6,Thalassiosira spp.
7/10/2019,KB10,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
7/10/2019,KB10,Thalassiosira rotula,0,Thalassiosira spp.
7/10/2019,KB10,Thalassiothrix longissum,0,unknown pennate diatom
7/10/2019,KB10,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
7/10/2019,KB10,Pennate diatoms,0,unknown pennate diatom
7/10/2019,KB10,Akashiwa sanguinea,0,unknown dinflagellate
7/10/2019,KB10,Alexandrium spp.,0,Alexandrium spp.
7/10/2019,KB10,Ceratium azoricum,0,unknown dinflagellate
7/10/2019,KB10,Ceratium fusus,0,Ceratium fusus
7/10/2019,KB10,Ceratium horridum,0,unknown dinflagellate
7/10/2019,KB10,Ceratium lineatum,0.63,unknown dinflagellate
7/10/2019,KB10,Ceratium longipes,0,Ceratium longipes
7/10/2019,KB10,Ceratium pentagum,0,unknown dinflagellate
7/10/2019,KB10,Ceratium tripos,0,unknown dinflagellate
7/10/2019,KB10,Dinophysis acuminata,0,Dinophysis spp.
7/10/2019,KB10,Dinophysis fortii,0,Dinophysis spp.
7/10/2019,KB10,Dinophysis norvegica,1.88,Dinophysis spp.
7/10/2019,KB10,Dinophysis parva,0,Dinophysis spp.
7/10/2019,KB10,Diplopeltopsis sp.,0,unknown dinoflagellate
7/10/2019,KB10,Dissodinium pseudolumula,0,unknown dinoflagellate
7/10/2019,KB10,Gonyaulax digitale,0,Gonyaulax spp.
7/10/2019,KB10,Gonyaulax spinifera,0,Gonyaulax spp.
7/10/2019,KB10,Gymnodinium spp.,0,unknown dinoflagellate
7/10/2019,KB10,Gyrodinium sp.,0,unknown dinoflagellate
7/10/2019,KB10,Heterocapsa triquetra,1125.6,Heterocapsa triquetra
7/10/2019,KB10,Noctiluca scintillans,0,Noctiluca scintillans
7/10/2019,KB10,Phalacroma rotundatum,0,unknown dinoflagellate
7/10/2019,KB10,Polykrikos schwarzii,0,unknown dinoflagellate
7/10/2019,KB10,Prorocentrum gracile,0,Prorocentrum spp.
7/10/2019,KB10,Prorocentrum micans,0,Prorocentrum spp.
7/10/2019,KB10,Prorocentrum minimum,0,Prorocentrum spp.
7/10/2019,KB10,Proroceratium reticulatum,0.63,unknown dinoflagellate
7/10/2019,KB10,Protoperidinium bipes,0,Protoperidinium spp.
7/10/2019,KB10,Protoperidinium spp.,107.2,Protoperidinium spp.
7/10/2019,KB10,Pyrophacus horologium,0,unknown dinoflagellate
7/10/2019,KB10,Scrippsiella trochoidea,214.4,Scrippsiella spp.
7/10/2019,KB10,small dino,53.6,unknown dinoflagellate
7/10/2019,KB10,Torodinium robustum,0,unknown dinoflagellate
7/10/2019,KB10,Dictyocha speculum,0,Dictyocha spp.
7/10/2019,KB10,Mesodinium rubrum,0,Mesodinium rubrum
7/10/2019,KB10,naked ciliates,53.6,naked ciliates
7/10/2019,KB10,tintinnids,482.4,tintinnids
7/10/2019,KB10,Euglena,107.2,Euglena
7/10/2019,T4-3,Achnanthes spp.,0,unknown pennate diatom
7/10/2019,T4-3,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
7/10/2019,T4-3,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
7/10/2019,T4-3,Asterionellopsis glacialis,0,Asterionellopsis spp.
7/10/2019,T4-3,Asterionellopsis socialis,0,Asterionellopsis spp.
7/10/2019,T4-3,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
7/10/2019,T4-3,Bacteriastrum spp.,0,Bacteriastrum spp.
7/10/2019,T4-3,Bacillaria paxilli,0,Bacillaria spp.
7/10/2019,T4-3,Cerataulina pelagica,0,Cerataulina spp.
7/10/2019,T4-3,Chaetoceros spp.,123816.34,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros affinis,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros convolutus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros contortus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros danicus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros debilis,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros decipiens,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros didymus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros laciniosus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros lorenzianus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros radicans,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros rostratus,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros socialis,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros similis,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros subtilis,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros teres,0,Chaetoceros spp.
7/10/2019,T4-3,Chaetoceros vanheurckii,0,Chaetoceros spp.
7/10/2019,T4-3,Coscinodiscus spp.,53.6,Coscinodiscus spp.
7/10/2019,T4-3,Corethron sp.,0,Corethron sp.
7/10/2019,T4-3,Cylindrotheca closterium,107.2,Cylindrotheca closterium
7/10/2019,T4-3,Dactyliosolen fragilissimus,160.8,unknown pennate diatom
7/10/2019,T4-3,Dactyliosolen blavyanus,0,unknown pennate diatom
7/10/2019,T4-3,Ditylium brightwellii,53.6,Ditylium spp.
7/10/2019,T4-3,Detonula pumila,0,Detonula spp.
7/10/2019,T4-3,Eucampia zodiacus,268,Eucampia spp.
7/10/2019,T4-3,Fragilariopsis spp.,0,Fragilariopsis spp.
7/10/2019,T4-3,Grammatophora spp.,0,Grammatophora spp.
7/10/2019,T4-3,Guinardia delicatula,214.4,Guinardia spp.
7/10/2019,T4-3,Guinardia striata,1447.2,Guinardia spp.
7/10/2019,T4-3,Leptocylindrus danicus,268,Leptocylindrus spp.
7/10/2019,T4-3,Leptocylindrus minimum,0,Leptocylindrus spp.
7/10/2019,T4-3,Licmophora spp.,0,Licmophora spp.
7/10/2019,T4-3,Melosira moniliformis,0,Melosira spp.
7/10/2019,T4-3,Navicula spp.,0,Navicula spp.
7/10/2019,T4-3,Nitzschia spp.,0,Nitzschia spp.
7/10/2019,T4-3,Odontella spp.,0,Odontella spp.
7/10/2019,T4-3,Paralia sulcata,0,unknown centric diatom (chain forming)
7/10/2019,T4-3,Pinnulia sp.,0,unknown pennate diatom
7/10/2019,T4-3,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
7/10/2019,T4-3,Pleurosigma sp.,0,Pleurosigma spp.
7/10/2019,T4-3,Proboscia alata,0,unknown pennate diatom
7/10/2019,T4-3,Pseudo-nitzschia fraud/aust,750.4,Pseudo-nitzschia spp.
7/10/2019,T4-3,Pseudo-nitzschia deli/p-deli,3912.81,Pseudo-nitzschia spp.
7/10/2019,T4-3,Pseudo-nitzschia multi/pung,24334.47,Pseudo-nitzschia spp.
7/10/2019,T4-3,Rhizosolenia setigera,0,Rhizosolenia spp.
7/10/2019,T4-3,Rhizosolenia styliformis,0,Rhizosolenia spp.
7/10/2019,T4-3,Rhizosolenia sp.,0,Rhizosolenia spp.
7/10/2019,T4-3,Skeletonema costatum,428.8,Skeletonema spp.
7/10/2019,T4-3,Surirella spp.,0,unknown pennate diatom
7/10/2019,T4-3,Stephanopyxis spp.,0,Stephanopyxis spp.
7/10/2019,T4-3,Synedra sp.,0,unknown pennate diatom
7/10/2019,T4-3,Thalassionema nitzschioides,0,Thalassionema spp.
7/10/2019,T4-3,Thalassiosira spp.,0,Thalassiosira spp.
7/10/2019,T4-3,Thalassiosira nordenskioeldii,482.4,Thalassiosira spp.
7/10/2019,T4-3,Thalassiosira rotula,107.2,Thalassiosira spp.
7/10/2019,T4-3,Thalassiothrix longissum,0,unknown pennate diatom
7/10/2019,T4-3,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
7/10/2019,T4-3,Pennate diatoms,0,unknown pennate diatom
7/10/2019,T4-3,Akashiwa sanguinea,0,unknown dinflagellate
7/10/2019,T4-3,Alexandrium spp.,4.38,Alexandrium spp.
7/10/2019,T4-3,Ceratium azoricum,0,unknown dinflagellate
7/10/2019,T4-3,Ceratium fusus,0,Ceratium fusus
7/10/2019,T4-3,Ceratium horridum,0,unknown dinflagellate
7/10/2019,T4-3,Ceratium lineatum,3.13,unknown dinflagellate
7/10/2019,T4-3,Ceratium longipes,0,Ceratium longipes
7/10/2019,T4-3,Ceratium pentagum,0,unknown dinflagellate
7/10/2019,T4-3,Ceratium tripos,0,unknown dinflagellate
7/10/2019,T4-3,Dinophysis acuminata,0.63,Dinophysis spp.
7/10/2019,T4-3,Dinophysis fortii,0,Dinophysis spp.
7/10/2019,T4-3,Dinophysis norvegica,4.38,Dinophysis spp.
7/10/2019,T4-3,Dinophysis parva,0,Dinophysis spp.
7/10/2019,T4-3,Diplopeltopsis sp.,321.6,unknown dinoflagellate
7/10/2019,T4-3,Dissodinium pseudolumula,53.6,unknown dinoflagellate
7/10/2019,T4-3,Gonyaulax digitale,0,Gonyaulax spp.
7/10/2019,T4-3,Gonyaulax spinifera,0.63,Gonyaulax spp.
7/10/2019,T4-3,Gymnodinium spp.,0,unknown dinoflagellate
7/10/2019,T4-3,Gyrodinium sp.,0,unknown dinoflagellate
7/10/2019,T4-3,Heterocapsa triquetra,428.8,Heterocapsa triquetra
7/10/2019,T4-3,Noctiluca scintillans,0,Noctiluca scintillans
7/10/2019,T4-3,Phalacroma rotundatum,0,unknown dinoflagellate
7/10/2019,T4-3,Polykrikos schwarzii,0,unknown dinoflagellate
7/10/2019,T4-3,Prorocentrum gracile,0,Prorocentrum spp.
7/10/2019,T4-3,Prorocentrum micans,0,Prorocentrum spp.
7/10/2019,T4-3,Prorocentrum minimum,0,Prorocentrum spp.
7/10/2019,T4-3,Proroceratium reticulatum,0,unknown dinoflagellate
7/10/2019,T4-3,Protoperidinium bipes,0,Protoperidinium spp.
7/10/2019,T4-3,Protoperidinium spp.,160.8,Protoperidinium spp.
7/10/2019,T4-3,Pyrophacus horologium,0,unknown dinoflagellate
7/10/2019,T4-3,Scrippsiella trochoidea,107.2,Scrippsiella spp.
7/10/2019,T4-3,small dino,107.2,unknown dinoflagellate
7/10/2019,T4-3,Torodinium robustum,0,unknown dinoflagellate
7/10/2019,T4-3,Dictyocha speculum,0,Dictyocha spp.
7/10/2019,T4-3,Mesodinium rubrum,0,Mesodinium rubrum
7/10/2019,T4-3,naked ciliates,0,naked ciliates
7/10/2019,T4-3,tintinnids,53.6,tintinnids
7/10/2019,T4-3,Euglena,0,Euglena
7/23/2019,KB10,Achnanthes spp.,0,unknown pennate diatom
7/23/2019,KB10,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
7/23/2019,KB10,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
7/23/2019,KB10,Asterionellopsis glacialis,0,Asterionellopsis spp.
7/23/2019,KB10,Asterionellopsis socialis,0,Asterionellopsis spp.
7/23/2019,KB10,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
7/23/2019,KB10,Bacteriastrum spp.,0,Bacteriastrum spp.
7/23/2019,KB10,Bacillaria paxilli,0,Bacillaria spp.
7/23/2019,KB10,Cerataulina pelagica,107.2,Cerataulina spp.
7/23/2019,KB10,Chaetoceros spp.,114436.31,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros affinis,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros convolutus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros contortus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros danicus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros debilis,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros decipiens,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros didymus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros laciniosus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros lorenzianus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros radicans,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros rostratus,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros socialis,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros similis,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros subtilis,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros teres,0,Chaetoceros spp.
7/23/2019,KB10,Chaetoceros vanheurckii,0,Chaetoceros spp.
7/23/2019,KB10,Coscinodiscus spp.,53.6,Coscinodiscus spp.
7/23/2019,KB10,Corethron sp.,0,Corethron sp.
7/23/2019,KB10,Cylindrotheca closterium,0,Cylindrotheca closterium
7/23/2019,KB10,Dactyliosolen fragilissimus,0,unknown pennate diatom
7/23/2019,KB10,Dactyliosolen blavyanus,0,unknown pennate diatom
7/23/2019,KB10,Ditylium brightwellii,0,Ditylium spp.
7/23/2019,KB10,Detonula pumila,0,Detonula spp.
7/23/2019,KB10,Eucampia zodiacus,53.6,Eucampia spp.
7/23/2019,KB10,Fragilariopsis spp.,0,Fragilariopsis spp.
7/23/2019,KB10,Grammatophora spp.,0,Grammatophora spp.
7/23/2019,KB10,Guinardia delicatula,107.2,Guinardia spp.
7/23/2019,KB10,Guinardia striata,0,Guinardia spp.
7/23/2019,KB10,Leptocylindrus danicus,0,Leptocylindrus spp.
7/23/2019,KB10,Leptocylindrus minimum,0,Leptocylindrus spp.
7/23/2019,KB10,Licmophora spp.,0,Licmophora spp.
7/23/2019,KB10,Melosira moniliformis,0,Melosira spp.
7/23/2019,KB10,Navicula spp.,0,Navicula spp.
7/23/2019,KB10,Nitzschia spp.,53.6,Nitzschia spp.
7/23/2019,KB10,Odontella spp.,0,Odontella spp.
7/23/2019,KB10,Paralia sulcata,0,unknown centric diatom (chain forming)
7/23/2019,KB10,Pinnulia sp.,0,unknown pennate diatom
7/23/2019,KB10,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
7/23/2019,KB10,Pleurosigma sp.,0,Pleurosigma spp.
7/23/2019,KB10,Proboscia alata,0,unknown pennate diatom
7/23/2019,KB10,Pseudo-nitzschia fraud/aust,0,Pseudo-nitzschia spp.
7/23/2019,KB10,Pseudo-nitzschia deli/p-deli,107.2,Pseudo-nitzschia spp.
7/23/2019,KB10,Pseudo-nitzschia multi/pung,13400.04,Pseudo-nitzschia spp.
7/23/2019,KB10,Rhizosolenia setigera,589.6,Rhizosolenia spp.
7/23/2019,KB10,Rhizosolenia styliformis,0,Rhizosolenia spp.
7/23/2019,KB10,Rhizosolenia sp.,0,Rhizosolenia spp.
7/23/2019,KB10,Skeletonema costatum,58156.16,Skeletonema spp.
7/23/2019,KB10,Surirella spp.,0,unknown pennate diatom
7/23/2019,KB10,Stephanopyxis spp.,0,Stephanopyxis spp.
7/23/2019,KB10,Synedra sp.,0,unknown pennate diatom
7/23/2019,KB10,Thalassionema nitzschioides,643.2,Thalassionema spp.
7/23/2019,KB10,Thalassiosira spp.,0,Thalassiosira spp.
7/23/2019,KB10,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
7/23/2019,KB10,Thalassiosira rotula,214.4,Thalassiosira spp.
7/23/2019,KB10,Thalassiothrix longissum,0,unknown pennate diatom
7/23/2019,KB10,Tropidoneis antarctica var. polypkasta,0,unknown pennate diatom
7/23/2019,KB10,Pennate diatoms,0,unknown pennate diatom
7/23/2019,KB10,Akashiwa sanguinea,0.63,unknown dinflagellate
7/23/2019,KB10,Alexandrium spp.,1.88,Alexandrium spp.
7/23/2019,KB10,Ceratium azoricum,0,unknown dinflagellate
7/23/2019,KB10,Ceratium fusus,0,Ceratium fusus
7/23/2019,KB10,Ceratium horridum,0,unknown dinflagellate
7/23/2019,KB10,Ceratium lineatum,0,unknown dinflagellate
7/23/2019,KB10,Ceratium longipes,0,Ceratium longipes
7/23/2019,KB10,Ceratium pentagum,0,unknown dinflagellate
7/23/2019,KB10,Ceratium tripos,0,unknown dinflagellate
7/23/2019,KB10,Dinophysis acuminata,268,Dinophysis spp.
7/23/2019,KB10,Dinophysis fortii,0,Dinophysis spp.
7/23/2019,KB10,Dinophysis norvegica,1.88,Dinophysis spp.
7/23/2019,KB10,Dinophysis parva,0,Dinophysis spp.
7/23/2019,KB10,Diplopeltopsis sp.,53.6,unknown dinoflagellate
7/23/2019,KB10,Dissodinium pseudolumula,0.63,unknown dinoflagellate
7/23/2019,KB10,Gonyaulax digitale,0,Gonyaulax spp.
7/23/2019,KB10,Gonyaulax spinifera,53.6,Gonyaulax spp.
7/23/2019,KB10,Gymnodinium spp.,0,unknown dinoflagellate
7/23/2019,KB10,Gyrodinium sp.,0,unknown dinoflagellate
7/23/2019,KB10,Heterocapsa triquetra,375.2,Heterocapsa triquetra
7/23/2019,KB10,Noctiluca scintillans,0,Noctiluca scintillans
7/23/2019,KB10,Phalacroma rotundatum,0,unknown dinoflagellate
7/23/2019,KB10,Polykrikos schwarzii,0,unknown dinoflagellate
7/23/2019,KB10,Prorocentrum gracile,0,Prorocentrum spp.
7/23/2019,KB10,Prorocentrum micans,0.63,Prorocentrum spp.
7/23/2019,KB10,Prorocentrum minimum,0,Prorocentrum spp.
7/23/2019,KB10,Proroceratium reticulatum,53.6,unknown dinoflagellate
7/23/2019,KB10,Protoperidinium bipes,0,Protoperidinium spp.
7/23/2019,KB10,Protoperidinium spp.,214.4,Protoperidinium spp.
7/23/2019,KB10,Pyrophacus horologium,0,unknown dinoflagellate
7/23/2019,KB10,Scrippsiella trochoidea,107.2,Scrippsiella spp.
7/23/2019,KB10,small dino,482.4,unknown dinoflagellate
7/23/2019,KB10,Torodinium robustum,0,unknown dinoflagellate
7/23/2019,KB10,Dictyocha speculum,0,Dictyocha spp.
7/23/2019,KB10,Mesodinium rubrum,0,Mesodinium rubrum
7/23/2019,KB10,naked ciliates,0,naked ciliates
7/23/2019,KB10,tintinnids,160.8,tintinnids
7/23/2019,KB10,Euglena,0,Euglena
7/23/2019,T9-10,Achnanthes spp.,0,unknown pennate diatom
7/23/2019,T9-10,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-10,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-10,Asterionellopsis glacialis,0,Asterionellopsis spp.
7/23/2019,T9-10,Asterionellopsis socialis,0,Asterionellopsis spp.
7/23/2019,T9-10,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-10,Bacteriastrum spp.,0,Bacteriastrum spp.
7/23/2019,T9-10,Bacillaria paxilli,0,Bacillaria spp.
7/23/2019,T9-10,Cerataulina pelagica,0,Cerataulina spp.
7/23/2019,T9-10,Chaetoceros spp.,378953.03,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros affinis,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros convolutus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros contortus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros danicus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros debilis,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros decipiens,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros didymus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros laciniosus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros lorenzianus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros radicans,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros rostratus,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros socialis,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros similis,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros subtilis,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros teres,0,Chaetoceros spp.
7/23/2019,T9-10,Chaetoceros vanheurckii,0,Chaetoceros spp.
7/23/2019,T9-10,Coscinodiscus spp.,0.63,Coscinodiscus spp.
7/23/2019,T9-10,Corethron sp.,0,Corethron sp.
7/23/2019,T9-10,Cylindrotheca closterium,0,Cylindrotheca closterium
7/23/2019,T9-10,Dactyliosolen fragilissimus,0,unknown pennate diatom
7/23/2019,T9-10,Dactyliosolen blavyanus,0,unknown pennate diatom
7/23/2019,T9-10,Ditylium brightwellii,0,Ditylium spp.
7/23/2019,T9-10,Detonula pumila,0,Detonula spp.
7/23/2019,T9-10,Eucampia zodiacus,1179.2,Eucampia spp.
7/23/2019,T9-10,Fragilariopsis spp.,0,Fragilariopsis spp.
7/23/2019,T9-10,Grammatophora spp.,0,Grammatophora spp.
7/23/2019,T9-10,Guinardia delicatula,0,Guinardia spp.
7/23/2019,T9-10,Guinardia striata,321.6,Guinardia spp.
7/23/2019,T9-10,Leptocylindrus danicus,0,Leptocylindrus spp.
7/23/2019,T9-10,Leptocylindrus minimum,0,Leptocylindrus spp.
7/23/2019,T9-10,Licmophora spp.,0,Licmophora spp.
7/23/2019,T9-10,Melosira moniliformis,0,Melosira spp.
7/23/2019,T9-10,Navicula spp.,0,Navicula spp.
7/23/2019,T9-10,Nitzschia spp.,482.4,Nitzschia spp.
7/23/2019,T9-10,Odontella spp.,0,Odontella spp.
7/23/2019,T9-10,Paralia sulcata,0,unknown centric diatom (chain forming)
7/23/2019,T9-10,Pinnulia sp.,0,unknown pennate diatom
7/23/2019,T9-10,Planktoniella sp.,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-10,Pleurosigma sp.,0,Pleurosigma spp.
7/23/2019,T9-10,Proboscia alata,0,unknown pennate diatom
7/23/2019,T9-10,Pseudo-nitzschia fraud/aust,0,Pseudo-nitzschia spp.
7/23/2019,T9-10,Pseudo-nitzschia deli/p-deli,107.2,Pseudo-nitzschia spp.
7/23/2019,T9-10,Pseudo-nitzschia multi/pung,26800.07,Pseudo-nitzschia spp.
7/23/2019,T9-10,Rhizosolenia setigera,0,Rhizosolenia spp.
7/23/2019,T9-10,Rhizosolenia styliformis,0,Rhizosolenia spp.
7/23/2019,T9-10,Rhizosolenia sp.,0,Rhizosolenia spp.
7/23/2019,T9-10,Skeletonema costatum,1072,Skeletonema spp.
7/23/2019,T9-10,Surirella spp.,0,unknown pennate diatom
7/23/2019,T9-10,Stephanopyxis spp.,0,Stephanopyxis spp.
7/23/2019,T9-10,Synedra sp.,0,unknown pennate diatom
7/23/2019,T9-10,Thalassionema nitzschioides,589.6,Thalassionema spp.
7/23/2019,T9-10,Thalassiosira spp.,0,Thalassiosira spp.
7/23/2019,T9-10,Thalassiosira nordenskioeldii,0,Thalassiosira spp.
7/23/2019,T9-10,Thalassiosira rotula,53.6,Thalassiosira spp.
7/23/2019,T9-10,Thalassiothrix longissum,0,unknown pennate diatom
7/23/2019,T9-10,Tropidoneis antarctica var. polypkasta,1.25,unknown pennate diatom
7/23/2019,T9-10,Pennate diatoms,0,unknown pennate diatom
7/23/2019,T9-10,Akashiwa sanguinea,0.63,unknown dinflagellate
7/23/2019,T9-10,Alexandrium spp.,8.13,Alexandrium spp.
7/23/2019,T9-10,Ceratium azoricum,0,unknown dinflagellate
7/23/2019,T9-10,Ceratium fusus,0,Ceratium fusus
7/23/2019,T9-10,Ceratium horridum,0,unknown dinflagellate
7/23/2019,T9-10,Ceratium lineatum,1.88,unknown dinflagellate
7/23/2019,T9-10,Ceratium longipes,53.6,Ceratium longipes
7/23/2019,T9-10,Ceratium pentagum,0,unknown dinflagellate
7/23/2019,T9-10,Ceratium tripos,0,unknown dinflagellate
7/23/2019,T9-10,Dinophysis acuminata,375.2,Dinophysis spp.
7/23/2019,T9-10,Dinophysis fortii,0,Dinophysis spp.
7/23/2019,T9-10,Dinophysis norvegica,2.5,Dinophysis spp.
7/23/2019,T9-10,Dinophysis parva,0,Dinophysis spp.
7/23/2019,T9-10,Diplopeltopsis sp.,53.6,unknown dinoflagellate
7/23/2019,T9-10,Dissodinium pseudolumula,53.6,unknown dinoflagellate
7/23/2019,T9-10,Gonyaulax digitale,0,Gonyaulax spp.
7/23/2019,T9-10,Gonyaulax spinifera,160.8,Gonyaulax spp.
7/23/2019,T9-10,Gymnodinium spp.,0,unknown dinoflagellate
7/23/2019,T9-10,Gyrodinium sp.,1.25,unknown dinoflagellate
7/23/2019,T9-10,Heterocapsa triquetra,214.4,Heterocapsa triquetra
7/23/2019,T9-10,Noctiluca scintillans,0,Noctiluca scintillans
7/23/2019,T9-10,Phalacroma rotundatum,53.6,unknown dinoflagellate
7/23/2019,T9-10,Polykrikos schwarzii,3.13,unknown dinoflagellate
7/23/2019,T9-10,Prorocentrum gracile,0,Prorocentrum spp.
7/23/2019,T9-10,Prorocentrum micans,0,Prorocentrum spp.
7/23/2019,T9-10,Prorocentrum minimum,0,Prorocentrum spp.
7/23/2019,T9-10,Proroceratium reticulatum,3.13,unknown dinoflagellate
7/23/2019,T9-10,Protoperidinium bipes,0,Protoperidinium spp.
7/23/2019,T9-10,Protoperidinium spp.,160.8,Protoperidinium spp.
7/23/2019,T9-10,Pyrophacus horologium,53.6,unknown dinoflagellate
7/23/2019,T9-10,Scrippsiella trochoidea,53.6,Scrippsiella spp.
7/23/2019,T9-10,small dino,53.6,unknown dinoflagellate
7/23/2019,T9-10,Torodinium robustum,0,unknown dinoflagellate
7/23/2019,T9-10,Dictyocha speculum,0,Dictyocha spp.
7/23/2019,T9-10,Mesodinium rubrum,0,Mesodinium rubrum
7/23/2019,T9-10,naked ciliates,0,naked ciliates
7/23/2019,T9-10,tintinnids,107.2,tintinnids
7/23/2019,T9-10,Euglena,0,Euglena
7/23/2019,T9-6,Achnanthes spp.,0,unknown pennate diatom
7/23/2019,T9-6,Actinoptychus senarius,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-6,Actinocyclus octonarius,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-6,Asterionellopsis glacialis,0,Asterionellopsis spp.
7/23/2019,T9-6,Asterionellopsis socialis,0,Asterionellopsis spp.
7/23/2019,T9-6,Asteromphalus heptactis,0,unknown centric diatom (non-chain forming)
7/23/2019,T9-6,Bacteriastrum spp.,0,Bacteriastrum spp.
7/23/2019,T9-6,Bacillaria paxilli,0,Bacillaria spp.
7/23/2019,T9-6,Cerataulina pelagica,0,Cerataulina spp.
