FID,Date,Time,POINT_X,POINT_Y,Class,Video_file,Subst_Orig,Subst_Cla,Sub_Subcl,Sub_Grp,Sub_Subgr,CMECS,Modifier,CMECSMod,Co_oc_el1,CMECS_1,Modifier_1,CMECSMod1,Co_oc_el2,CMECS_2,Modifier_2,CMECSMod2,Co_oc_el3,CMECS_3,Modifier_3,CMECSMod3,Co_oc_el4,CMECS_4,Modifier_4,CMECSMod4,Site_ID,Video_file_1,Boulder,Cobble,Pebble,Gravel,Shell,Sand,Mud,Kelp,Macroalgae,Filamentous_microalgae,Coralline_algae,Seagrass,Crab,Sponge,Sea_pen,Anemone,Sea_star,Urchin,Bryozoan,Tunicate,Nudibranch,Polychaete,Octopus,Clam_siphons,FID_1,Date_1,Time_1,POINT_X_1,POINT_Y_1,Class_1,Video_file_12,Subst_Orig_1,Subst_Cla_1,Sub_Subcl_1,Sub_Grp_1,Sub_Subgr_1,CMECS_12,Modifier_12,CMECSMod_1,Co_oc_el1_1,CMECS_12_13,Modifier_12_13,CMECSMod1_1,Co_oc_el2_1,CMECS_23,Modifier_23,CMECSMod2_1,Co_oc_el3_1,CMECS_34,Modifier_34,CMECSMod3_1,Co_oc_el4_1,CMECS_45,Modifier_45,CMECSMod4_1,Site_ID_1,Depth,Otters
133,7/13/2016 0:00,4:09 PM,-151.4919974,59.56940415,"mud, shell 0%",KBAY_2016_07_13_434_clip-10.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_434,KBAY_2016_07_13_434_clip-10.mp4,0,0,0,0,0,0,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,133,7/13/2016 0:00,4:09 PM,-151.4919974,59.56940415,"mud, shell 0%",KBAY_2016_07_13_434_clip-10.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , , , , , , , , , , , , , , , , , ,2016_434,-117.2988739,1
134,7/12/2016 0:00,11:54 AM,-151.4338285,59.55659111,"mud, shell 0-<10%",KBAY_2016_07_12_435_clip-23.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_435,KBAY_2016_07_12_435_clip-23.mp4,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,134,7/12/2016 0:00,11:54 AM,-151.4338285,59.55659111,"mud, shell 0-<10%",KBAY_2016_07_12_435_clip-23.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_435,-91.70194244,1
135,7/10/2016 0:00,10:34 AM,-151.5268145,59.48509273,"mud, shell 10-<50%",KBAY_2016_07_10_439_clip-20.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_439,KBAY_2016_07_10_439_clip-20.mp4,0,0,0,0,10,0,90,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,135,7/10/2016 0:00,10:34 AM,-151.5268145,59.48509273,"mud, shell 10-<50%",KBAY_2016_07_10_439_clip-20.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_439,-27.81502914,1
136,7/18/2016 0:00,11:06 AM,-151.4063159,59.46323982,"cobble/gravel 50-<90%, shell 10-<50%, macroalgae 0-<10%, microalgae 10-<50%",KBAY_2016_07_18_GOPR0_440_clip-15.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06, , , , ,2016_440,KBAY_2016_07_18_GOPR0_440_clip-15.mp4,20,30,15,0,15,20,0,20,0,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,136,7/18/2016 0:00,11:06 AM,-151.4063159,59.46323982,"cobble/gravel 50-<90%, shell 10-<50%, macroalgae 0-<10%, microalgae 10-<50%",KBAY_2016_07_18_GOPR0_440_clip-15.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06, , , , ,2016_440,-5.055541039,1
137,7/11/2016 0:00,12:57 PM,-151.8363715,59.35763096,"mud, shell 50-<90%",KBAY_2016_07_11_441_clip-20.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_441,KBAY_2016_07_11_441_clip-20.mp4,0,0,0,0,30,0,70,5,5,0,0,0,1,0,0,0,0,0,35,1,0,0,0,0,137,7/11/2016 0:00,12:57 PM,-151.8363715,59.35763096,"mud, shell 50-<90%",KBAY_2016_07_11_441_clip-20.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_441,-27.10710335,1
139,7/17/2016 0:00,3:32 PM,-151.2835416,59.57458031,"mud, shell 0-<10%",KBAY_2016_07_17_447_clip-24.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_447,KBAY_2016_07_17_447_clip-24.mp4,0,0,0,0,20,0,80,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,7/17/2016 0:00,3:32 PM,-151.2835416,59.57458031,"mud, shell 0-<10%",KBAY_2016_07_17_447_clip-24.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_447,-16.1167984,1
140,7/17/2016 0:00,2:00 PM,-151.0690826,59.73093228,"mud, shell 0-<10%",KBAY_2016_07_17_454_clip-25.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_454,KBAY_2016_07_17_454_clip-25.mp4,0,0,0,0,20,0,80,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,7/17/2016 0:00,2:00 PM,-151.0690826,59.73093228,"mud, shell 0-<10%",KBAY_2016_07_17_454_clip-25.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_454,-33.7743988,1
141,7/11/2016 0:00,11:43 AM,-151.8264909,59.35222513,"mud, shell 10-<50%, macroalgae 0-<10%",KBAY_2016_07_11_455_clip-21.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_455,KBAY_2016_07_11_455_clip-21.mp4,0,0,0,0,30,0,70,0,5,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,141,7/11/2016 0:00,11:43 AM,-151.8264909,59.35222513,"mud, shell 10-<50%, macroalgae 0-<10%",KBAY_2016_07_11_455_clip-21.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_455,-20.98336792,1
142,7/12/2016 0:00,10:49 AM,-151.4952315,59.54807932,"mud, shell 10-<50%",KBAY_2016_07_12_462_clip-25.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_462,KBAY_2016_07_12_462_clip-25.mp4,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,142,7/12/2016 0:00,10:49 AM,-151.4952315,59.54807932,"mud, shell 10-<50%",KBAY_2016_07_12_462_clip-25.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_462,-65.08401489,1
143,7/10/2016 0:00,10:12 AM,-151.521296,59.48687097,"mud, shell 10-<50%",KBAY_2016_07_10_467_clip-21.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_467,KBAY_2016_07_10_467_clip-21.mp4,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,143,7/10/2016 0:00,10:12 AM,-151.521296,59.48687097,"mud, shell 10-<50%",KBAY_2016_07_10_467_clip-21.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_467,-53.44081497,1
144,7/10/2016 0:00,12:23 PM,-151.6493302,59.49934125,"mud, shell 10-<50%",KBAY_2016_07_10_468_clip-22.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_468,KBAY_2016_07_10_468_clip-22.mp4,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144,7/10/2016 0:00,12:23 PM,-151.6493302,59.49934125,"mud, shell 10-<50%",KBAY_2016_07_10_468_clip-22.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_468,-46.12001419,1
147,7/11/2016 0:00,2:00 PM,-151.8633416,59.36642007,shell 90-100%,KBAY_2016_07_11_475_clip-22.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_475,KBAY_2016_07_11_475_clip-22.mp4,0,10,20,0,20,0,50,5,0,5,0,0,2,0,0,4,0,0,19,0,0,0,0,0,147,7/11/2016 0:00,2:00 PM,-151.8633416,59.36642007,shell 90-100%,KBAY_2016_07_11_475_clip-22.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_475,-25.40579987,1
148,7/10/2016 0:00,12:42 PM,-151.6835893,59.49960913,"mud, shell 50-<90%",KBAY_2016_07_10_476_clip-24.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_476,KBAY_2016_07_10_476_clip-24.mp4,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,148,7/10/2016 0:00,12:42 PM,-151.6835893,59.49960913,"mud, shell 50-<90%",KBAY_2016_07_10_476_clip-24.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_476,-57.81777191,1
150,7/11/2016 0:00,9:13 AM,-151.8124911,59.47714142,shell 90-100%,KBAY_2016_07_11_480_clip-23.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_480,KBAY_2016_07_11_480_clip-23.mp4,0,0,40,0,40,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,150,7/11/2016 0:00,9:13 AM,-151.8124911,59.47714142,shell 90-100%,KBAY_2016_07_11_480_clip-23.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_480,-54.41680527,1
151,7/10/2016 0:00,10:50 AM,-151.5558052,59.48780469,"mud, shell 10-<50%",KBAY_2016_07_10_484_clip-25.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_484,KBAY_2016_07_10_484_clip-25.mp4,0,0,0,0,20,0,80,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,151,7/10/2016 0:00,10:50 AM,-151.5558052,59.48780469,"mud, shell 10-<50%",KBAY_2016_07_10_484_clip-25.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_484,-36.99443817,1
152,7/10/2016 0:00,1:51 PM,-151.7535009,59.47729758,shell 90-100%,KBAY_2016_07_10_488_clip-26.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_488,KBAY_2016_07_10_488_clip-26.mp4,0,0,20,0,50,30,0,0,5,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,152,7/10/2016 0:00,1:51 PM,-151.7535009,59.47729758,shell 90-100%,KBAY_2016_07_10_488_clip-26.mp4,Biogenic,Shell,Shell Rubble, , ,S.2.5.2,Percent Cover 90% - 100%,PC11, , , , , , , , , , , , , , , , ,2016_488,-25.33693314,1
153,7/13/2016 0:00,1:51 PM,-151.5933053,59.59787945,"mud, shell 50-<90%",KBAY_2016_07_13_499_clip-11.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_499,KBAY_2016_07_13_499_clip-11.mp4,0,0,0,0,50,0,50,0,0,0,0,0,2,0,0,0,1,0,7,2,0,0,0,0,153,7/13/2016 0:00,1:51 PM,-151.5933053,59.59787945,"mud, shell 50-<90%",KBAY_2016_07_13_499_clip-11.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_499,-26.98042107,1
155,7/13/2016 0:00,2:33 PM,-151.5605772,59.61397451,"cobble/gravel 50-<90%, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_13_501_clip-12.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_501,KBAY_2016_07_13_501_clip-12.mp4,20,50,10,0,0,20,0,0,15,0,70,0,0,0,0,0,0,25,1,0,0,0,0,0,155,7/13/2016 0:00,2:33 PM,-151.5605772,59.61397451,"cobble/gravel 50-<90%, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_13_501_clip-12.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_501,-12.53946781,1
156,7/16/2016 0:00,1:33 PM,-151.1175105,59.69983804,"mud, shell 0-<10%",KBAY_2016_07_16_GOPR0_505_clip-20.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_505,KBAY_2016_07_16_GOPR0_505_clip-20.mp4,0,0,0,0,15,0,85,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,156,7/16/2016 0:00,1:33 PM,-151.1175105,59.69983804,"mud, shell 0-<10%",KBAY_2016_07_16_GOPR0_505_clip-20.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_505,-31.47433281,1
157,7/13/2016 0:00,3:54 PM,-151.5246837,59.59356275,"mud, shell 50-<90%",KBAY_2016_07_13_512_clip-13.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_512,KBAY_2016_07_13_512_clip-13.mp4,0,0,0,0,70,10,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7/13/2016 0:00,3:54 PM,-151.5246837,59.59356275,"mud, shell 50-<90%",KBAY_2016_07_13_512_clip-13.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_512,-17.73893547,1
158,7/14/2016 0:00,11:01 AM,-151.5282465,59.59020823,"mud, shell 10-<50%",KBAY_2016_07_14_GOPRO_515_clip-13.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_515,KBAY_2016_07_14_GOPRO_515_clip-13.mp4,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,7/14/2016 0:00,11:01 AM,-151.5282465,59.59020823,"mud, shell 10-<50%",KBAY_2016_07_14_GOPRO_515_clip-13.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_515,-29.1116333,1
161,7/13/2016 0:00,3:11 PM,-151.5923519,59.61602627,"boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_13_532_clip-14.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_532,KBAY_2016_07_13_532_clip-14.mp4,20,40,10,0,20,10,0,0,0,5,0,0,0,0,0,0,0,1,7,2,0,0,0,0,161,7/13/2016 0:00,3:11 PM,-151.5923519,59.61602627,"boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_13_532_clip-14.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , ,2016_532,-15.21608734,1
162,7/14/2016 0:00,10:49 AM,-151.532442,59.58711349,"mud, shell 0-<10%",KBAY_2016_07_14_GOPRO_536_clip-14.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_536,KBAY_2016_07_14_GOPRO_536_clip-14.mp4,0,0,0,0,2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,7/14/2016 0:00,10:49 AM,-151.532442,59.58711349,"mud, shell 0-<10%",KBAY_2016_07_14_GOPRO_536_clip-14.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_536,-41.48291016,1
166,7/10/2016 0:00,12:56 PM,-151.7057107,59.49654267,"mud, shell 50-<90%",KBAY_2016_07_10_546_clip-29.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_546,KBAY_2016_07_10_546_clip-29.mp4,0,0,10,0,20,0,70,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,166,7/10/2016 0:00,12:56 PM,-151.7057107,59.49654267,"mud, shell 50-<90%",KBAY_2016_07_10_546_clip-29.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5, , ,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10, , , , , , , , , , , , ,2016_546,-54.04866409,1
167,7/13/2016 0:00,2:44 PM,-151.5910723,59.62077893,"boulder/cobble/gravel 50-<90%, shell 0-<10%",KBAY_2016_07_13_548_clip-16.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_548,KBAY_2016_07_13_548_clip-16.mp4,20,30,10,0,20,20,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,167,7/13/2016 0:00,2:44 PM,-151.5910723,59.62077893,"boulder/cobble/gravel 50-<90%, shell 0-<10%",KBAY_2016_07_13_548_clip-16.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02, , , , , , , , , , , , ,2016_548,-14.77287579,1
169,7/18/2016 0:00,3:05 PM,-151.3544758,59.47669459,anoxic mud,KBAY_2016_07_18_GOPR0_559_clip-17.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5,"Physiochemical, Oxygen Regime, Anoxic",OR001, , , , , , , , , , , , , , , , ,2016_559,KBAY_2016_07_18_GOPR0_559_clip-17.mp4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,7/18/2016 0:00,3:05 PM,-151.3544758,59.47669459,anoxic mud,KBAY_2016_07_18_GOPR0_559_clip-17.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5,"Physiochemical, Oxygen Regime, Anoxic",OR001, , , , , , , , , , , , , , , , ,2016_559,-54.33183289,1
170,7/13/2016 0:00,2:18 PM,-151.5398181,59.60436696,"boulder/cobble/gravel 50-<90%, shell 10-<50%",KBAY_2016_07_13_564_clip-17.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_564,KBAY_2016_07_13_564_clip-17.mp4,5,30,20,0,20,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,170,7/13/2016 0:00,2:18 PM,-151.5398181,59.60436696,"boulder/cobble/gravel 50-<90%, shell 10-<50%",KBAY_2016_07_13_564_clip-17.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06, , , , , , , , , , , , ,2016_564,-14.79663086,1
171,7/18/2016 0:00,3:23 PM,-151.3619286,59.47910712,anoxic mud,KBAY_2016_07_18_GOPR0_567_clip-18.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5,"Physiochemical, Oxygen Regime, Anoxic",OR001, , , , , , , , , , , , , , , , ,2016_567,KBAY_2016_07_18_GOPR0_567_clip-18.mp4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,7/18/2016 0:00,3:23 PM,-151.3619286,59.47910712,anoxic mud,KBAY_2016_07_18_GOPR0_567_clip-18.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud, ,S1.2.2.5,"Physiochemical, Oxygen Regime, Anoxic",OR001, , , , , , , , , , , , , , , , ,2016_567,-53.21851349,1
